=Europe/London
8000000000000000 -75 0 LMT
0000020fb2da0e80 0 0 GMT
00000212cbed6680 3600 1 BST
000002170564de80 0 0 GMT
0000021a1e783680 3600 1 BST
0000021e57efae80 0 0 GMT
0000022171030680 3600 1 BST
00000225ce870280 0 0 GMT
00000228c38dd680 3600 1 BST
0000022d2111d280 0 0 GMT
000002301618a680 3600 1 BST
00000234739ca280 0 0 GMT
000002378caffa80 3600 1 BST
0000023bc6277280 0 0 GMT
0000023edf3aca80 3600 1 BST
0000024318b24280 0 0 GMT
0000024631c59a80 3600 1 BST
0000024a8f499680 0 0 GMT
0000024d84506a80 3600 1 BST
00000251e1d46680 0 0 GMT
00000254d6db3a80 3600 1 BST
00000259345f3680 0 0 GMT
0000025c4d728e80 3600 1 BST
0000026086ea0680 0 0 GMT
000002639ffd5e80 3600 1 BST
00000267d974d680 0 0 GMT
0000026af2882e80 3600 1 BST
0000026f2bffa680 0 0 GMT
000002724512fe80 3600 1 BST
00000276a296fa80 0 0 GMT
00000279979dce80 3600 1 BST
0000027df521ca80 0 0 GMT
00000280ea289e80 3600 1 BST
0000028547ac9a80 0 0 GMT
0000028860bff280 3600 1 BST
0000028c9a376a80 0 0 GMT
0000028fb34ac280 3600 1 BST
00000293ecc23a80 0 0 GMT
0000029705d59280 3600 1 BST
0000029b63598e80 0 0 GMT
0000029e58606280 3600 1 BST
000002a2b5e45e80 0 0 GMT
000002a5aaeb3280 3600 1 BST
000002aa086f2e80 0 0 GMT
000002acfd760280 3600 1 BST
000002b15af9fe80 0 0 GMT
000002b4740d5680 3600 1 BST
000002b8ad84ce80 0 0 GMT
000002bbc6982680 3600 1 BST
000002c0000f9e80 0 0 GMT
000002c31922f680 3600 1 BST
000002c776a6f280 0 0 GMT
000002ca6badc680 3600 1 BST
000002cec931c280 0 0 GMT
000002d1be389680 3600 1 BST
000002d61bbc9280 0 0 GMT
000002d934cfea80 3600 1 BST
000002dd6e476280 0 0 GMT
000002e0875aba80 3600 1 BST
000002e4c0d23280 0 0 GMT
000002e7d9e58a80 3600 1 BST
000002ec135d0280 0 0 GMT
000002ef2c705a80 3600 1 BST
000002f389f45680 0 0 GMT
000002f67efb2a80 3600 1 BST
000002fadc7f2680 0 0 GMT
000002fdd185fa80 3600 1 BST
000003022f09f680 0 0 GMT
00000305481d4e80 3600 1 BST
000003098194c680 0 0 GMT
0000030c9aa81e80 3600 1 BST
00000310d41f9680 0 0 GMT
00000313ed32ee80 3600 1 BST
000003184ab6ea80 0 0 GMT
0000031b3fbdbe80 3600 1 BST
0000031f9d41ba80 0 0 GMT
0000032292488e80 3600 1 BST
00000326efcc8a80 0 0 GMT
0000032a08dfe280 3600 1 BST
0000032e42575a80 0 0 GMT
000003315b6ab280 3600 1 BST
0000033594e22a80 0 0 GMT
00000338adf58280 3600 1 BST
0000033ce76cfa80 0 0 GMT
0000034000805280 3600 1 BST
000003445e044e80 0 0 GMT
00000347530b2280 3600 1 BST
0000034bb08f1e80 0 0 GMT
0000034ea595f280 3600 1 BST
000003530319ee80 0 0 GMT
000003561c2d4680 3600 1 BST
0000035a55a4be80 0 0 GMT
0000035d6eb81680 3600 1 BST
00000361a82f8e80 0 0 GMT
00000364c142e680 3600 1 BST
000003691ec6e280 0 0 GMT
0000036c13cdb680 3600 1 BST
000003707151b280 0 0 GMT
0000037366588680 3600 1 BST
00000377c3dc8280 0 0 GMT
0000037ab8e35680 3600 1 BST
0000037f16675280 0 0 GMT
000003822f7aaa80 3600 1 BST
0000038668f22280 0 0 GMT
0000038982057a80 3600 1 BST
0000038dbb7cf280 0 0 GMT
00000390d4904a80 3600 1 BST
0000039532144680 0 0 GMT
00000398271b1a80 3600 1 BST
0000039c849f1680 0 0 GMT
0000039f79a5ea80 3600 1 BST
000003a3d729e680 0 0 GMT
000003a6f03d3e80 3600 1 BST
000003ab29b4b680 0 0 GMT
000003ae42c80e80 3600 1 BST
000003b27c3f8680 0 0 GMT
000003b59552de80 3600 1 BST
000003b9ceca5680 0 0 GMT
