=America/Cambridge_Bay
8000000000000000 0 0 zzz
000002a2db716800 -25200 0 MST
000002a564899e80 -21600 1 MDT
000002aa2dfc3800 -25200 0 MST
000002acb7146e80 -21600 1 MDT
000002b180870800 -25200 0 MST
000002b4099f3e80 -21600 1 MDT
000002b8d311d800 -25200 0 MST
000002bb5c2a0e80 -21600 1 MDT
000002c0259ca800 -25200 0 MST
000002c2d2c16280 -21600 1 MDT
000002c79c33fc00 -25200 0 MST
000002ca254c3280 -21600 1 MDT
000002ceeebecc00 -25200 0 MST
000002d177d70280 -21600 1 MDT
000002d641499c00 -25200 0 MST
000002d8ca61d280 -21600 1 MDT
000002dd93d46c00 -25200 0 MST
000002e01ceca280 -21600 1 MDT
000002e4e65f3c00 -25200 0 MST
000002e76f777280 -21600 1 MDT
000002ec38ea0c00 -25200 0 MST
000002eee60ec680 -21600 1 MDT
000002f3af816000 -25200 0 MST
000002f638999680 -21600 1 MDT
000002fb020c3000 -25200 0 MST
000002fd8b246680 -21600 1 MDT
0000030254970000 -25200 0 MST
00000304ddaf3680 -21600 1 MDT
00000309a721d000 -25200 0 MST
0000030c303a0680 -21600 1 MDT
00000310f9aca000 -25200 0 MST
00000313a6d15a80 -21600 1 MDT
000003187043f400 -25200 0 MST
0000031af95c2a80 -21600 1 MDT
0000031fc2cec400 -25200 0 MST
000003224be6fa80 -21600 1 MDT
0000032715599400 -25200 0 MST
000003299e71ca80 -21600 1 MDT
0000032e67e46400 -25200 0 MST
00000330f0fc9a80 -21600 1 MDT
00000335ba6f3400 -25200 0 MST
0000033843876a80 -21600 1 MDT
0000033d0cfa0400 -25200 0 MST
0000033fba1ebe80 -21600 1 MDT
0000034483915800 -25200 0 MST
000003470ca98e80 -21600 1 MDT
0000034bd61c2800 -25200 0 MST
0000034e5f345e80 -21600 1 MDT
0000035328a6f800 -25200 0 MST
00000355b1bf2e80 -21600 1 MDT
0000035a7b31c800 -25200 0 MST
0000035d0449fe80 -21600 1 MDT
00000361cdbc9800 -25200 0 MST
000003647ae15280 -21600 1 MDT
000003694453ec00 -25200 0 MST
0000036bcd6c2280 -21600 1 MDT
0000037096debc00 -25200 0 MST
000003731ff6f280 -21600 1 MDT
00000377e9698c00 -25200 0 MST
0000037a7281c280 -21600 1 MDT
0000037f3bf45c00 -25200 0 MST
00000381c50c9280 -21600 1 MDT
000003868e7f2c00 -25200 0 MST
0000038917976280 -21600 1 MDT
0000038de109fc00 -25200 0 MST
000003908e2eb680 -21600 1 MDT
0000039557a15000 -25200 0 MST
00000397e0b98680 -21600 1 MDT
0000039caa2c2000 -25200 0 MST
0000039f33445680 -21600 1 MDT
000003a3fcb6f000 -25200 0 MST
000003a685cf2680 -21600 1 MDT
000003ab4f41c000 -25200 0 MST
000003add859f680 -21600 1 MDT
000003b2a1cc9000 -25200 0 MST
000003b52ae4c680 -21600 1 MDT
000003b9f4576000 -25200 0 MST
