
、	,
ッリェー	rryê
ッリャ	rrya
ッリャー	rryâ
ッリュ	rryu
ッリュー	rryû
ッリョ	rryo
ッリョー	rryô
ッリー	rrî
ッル	rru
ッルー	rrû
ッレ	rre
ッレー	rrê
ッロ	rro
ッロー	rrô
ッワ	wwa
ッワー	wwâ
ッヰ	wwi
ッヰー	wwî
ッヱ	wwe
ッヱー	wwê
ッヲ	wwo
ッヲー	wwô
ツ	tu
ツー	tû
ヅ	du
ヅー	dû
テ	te
テー	tê
デ	de
デー	dê
ト	to
トー	tô
ド	do
ドー	dô
ナ	na
ナー	nâ
ニ	ni
ニェ	nye
ニェー	nyê
ニャ	nya
ニャー	nyâ
ニュ	nyu
ニュー	nyû
ニョ	nyo
ニョー	nyô
ニー	nî
ヌ	nu
ヌー	nû
ネ	ne
ネー	nê
ノ	no
ノー	nô
ハ	ha
ハー	hâ
バ	ba
バー	bâ
パ	pa
パー	pâ
ヒ	hi
ヒェ	hye
ヒェー	hyê
ヒャ	hya
ヒャー	hyâ
ヒュ	hyu
ヒュー	hyû
ヒョ	hyo
ヒョー	hyô
ヒー	hî
ビ	bi
ビェ	bye
ビェー	byê
ビャ	bya
ビャー	byâ
ビュ	byu
ビュー	byû
ビョ	byo
ビョー	byô
ビー	bî
ピ	pi
ピェ	pye
ピェー	pyê
ピャ	pya
ピャー	pyâ
ピュ	pyu
ピュー	pyû
ピョ	pyo
ピョー	pyô
ピー	pî
フ	hu
フー	hû
ブ	bu
ブー	bû
プ	pu
プー	pû
ヘ	he
ヘー	hê
ベ	be
ベー	bê
ペ	pe
ペー	pê
ホ	ho
ホー	hô
ボ	bo
ボー	bô
ポ	po
ポー	pô
マ	ma
マー	mâ
ミ	mi
ミェ	mye
ミェー	myê
ミャ	mya
ミャー	myâ
ミュ	myu
ミュー	myû
ミョ	myo
ミョー	myô
ミー	mî
ム	mu
ムー	mû
メ	me
メー	mê
モ	mo
モー	mô
ャ	
ヤ	ya
ヤー	yâ
ュ	
ユ	yu
ユー	yû
ョ	
ヨ	yo
ヨー	yô
ラ	ra
ラー	râ
リ	ri
リェ	rye
リェー	ryê
リャ	rya
リャー	ryâ
リュ	ryu
リュー	ryû
リョ	ryo
リョー	ryô
リー	rî
ル	ru
ルー	rû
レ	re
レー	rê
ロ	ro
ロー	rô
ワ	wa
ワー	wâ
ヰ	wi
ヰー	wî
ヱ	we
ヱー	wê
ヲ	wo
ヲー	wô
ン	n
・	-
ー	
ヿ	koto
